_time,label,cycle_id
2023-12-11 15:00:29.356,Normal,2_7
2023-12-12 06:07:43.001,Normal,5_131
2023-12-12 13:58:19.348,Normal,5_226
2023-12-12 11:48:11.855,Normal,5_199
2023-12-12 12:12:59.448,Normal,5_204
2023-12-12 07:10:01.949,Normal,5_143
2023-12-11 15:01:12.455,Normal,2_7
2023-12-12 15:27:40.336,Normal,5_243
2023-12-12 08:37:11.641,Normal,5_161
2023-12-12 14:14:28.138,Normal,5_229
2023-12-12 05:11:31.040,Normal,5_120
2023-12-11 13:14:12.940,Normal,0_3
2023-12-12 09:12:17.373,Normal,5_168
2023-12-12 11:35:20.842,Normal,5_197
2023-12-12 14:32:29.844,Normal,5_232
2023-12-12 10:12:50.757,Normal,5_180
2023-12-12 10:35:56.288,Normal,5_185
2023-12-12 15:35:27.044,Normal,5_245
2023-12-12 12:15:27.457,Normal,5_205
2023-12-12 14:14:06.142,Normal,5_229
2023-12-12 09:30:16.156,Normal,5_171
2023-12-12 10:11:18.647,Normal,5_180
2023-12-12 08:15:58.551,Normal,5_157
2023-12-11 15:15:44.063,Normal,2_10
2023-12-12 04:56:46.157,Normal,5_117
2023-12-12 10:35:32.547,Normal,5_185
2023-12-11 14:53:27.545,Normal,2_6
2023-12-12 08:32:16.464,Normal,5_160
2023-12-12 05:43:03.744,Normal,5_126
2023-12-11 14:27:31.364,Normal,2_1
2023-12-12 10:41:40.744,Normal,5_186
2023-12-11 15:16:01.338,Normal,2_10
2023-12-12 16:11:56.943,Normal,5_252
2023-12-11 14:37:15.312,Normal,2_2
2023-12-12 15:22:33.674,Normal,5_242
2023-12-12 15:10:23.145,Normal,5_240
2023-12-11 15:11:57.750,Normal,2_9
2023-12-12 14:15:00.862,Normal,5_229
2023-12-12 11:26:50.140,Normal,5_195
2023-12-12 11:36:04.352,Normal,5_197
2023-12-12 14:05:04.153,Normal,5_227
2023-12-12 08:39:03.947,Normal,5_161
2023-12-12 10:14:42.951,Normal,5_180
2023-12-12 11:45:11.335,Normal,5_199
2023-12-12 06:16:37.675,Normal,5_133
